 H: 3.94deg  R: 0.44deg  P: 108.44deg  aX: 0.12m/s2  aY: -9.16m/s2  aZ: -2.91m/s2 
 H: 3.94deg  R: 0.44deg  P: 108.50deg  aX: 0.27m/s2  aY: -9.34m/s2  aZ: -2.99m/s2 
 H: 4.00deg  R: 0.44deg  P: 108.63deg  aX: 0.10m/s2  aY: -9.29m/s2  aZ: -3.06m/s2 
 H: 4.00deg  R: 0.44deg  P: 108.63deg  aX: 0.15m/s2  aY: -9.38m/s2  aZ: -3.05m/s2 
 H: 4.00deg  R: 0.44deg  P: 108.69deg  aX: 0.19m/s2  aY: -9.28m/s2  aZ: -2.91m/s2 
 H: 3.94deg  R: 0.38deg  P: 108.75deg  aX: 0.17m/s2  aY: -9.52m/s2  aZ: -3.18m/s2 
 H: 3.94deg  R: 0.38deg  P: 108.81deg  aX: 0.19m/s2  aY: -9.39m/s2  aZ: -3.16m/s2 
 H: 3.88deg  R: 0.31deg  P: 108.81deg  aX: 0.16m/s2  aY: -9.16m/s2  aZ: -2.98m/s2 
 H: 3.81deg  R: 0.31deg  P: 108.88deg  aX: 0.06m/s2  aY: -9.30m/s2  aZ: -3.15m/s2 
 H: 3.88deg  R: 0.31deg  P: 108.94deg  aX: 0.12m/s2  aY: -9.42m/s2  aZ: -3.08m/s2 
 H: 3.88deg  R: 0.25deg  P: 109.00deg  aX: 0.13m/s2  aY: -9.29m/s2  aZ: -3.01m/s2 
 H: 3.88deg  R: 0.25deg  P: 109.00deg  aX: 0.09m/s2  aY: -9.19m/s2  aZ: -3.09m/s2 
 H: 3.88deg  R: 0.25deg  P: 109.06deg  aX: 0.12m/s2  aY: -9.51m/s2  aZ: -3.17m/s2 
 H: 3.88deg  R: 0.25deg  P: 109.13deg  aX: 0.13m/s2  aY: -9.02m/s2  aZ: -3.14m/s2 
 H: 3.88deg  R: 0.25deg  P: 109.13deg  aX: 0.02m/s2  aY: -9.34m/s2  aZ: -3.09m/s2 
 H: 3.94deg  R: 0.25deg  P: 109.19deg  aX: 0.06m/s2  aY: -9.28m/s2  aZ: -3.12m/s2 
 H: 3.94deg  R: 0.25deg  P: 109.19deg  aX: 0.19m/s2  aY: -9.40m/s2  aZ: -3.15m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.25deg  aX: 0.04m/s2  aY: -9.06m/s2  aZ: -3.21m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.25deg  aX: 0.07m/s2  aY: -9.28m/s2  aZ: -3.20m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.25deg  aX: 0.10m/s2  aY: -9.14m/s2  aZ: -3.20m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.25deg  aX: 0.06m/s2  aY: -9.31m/s2  aZ: -3.20m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.31deg  aX: 0.06m/s2  aY: -9.37m/s2  aZ: -3.09m/s2 
 H: 3.94deg  R: 0.31deg  P: 109.31deg  aX: 0.14m/s2  aY: -9.32m/s2  aZ: -3.15m/s2 
