 H: 5.63deg  R: -2.94deg  P: 99.00deg  aX: -0.56m/s2  aY: -10.20m/s2  aZ: -1.74m/s2 
 H: 5.69deg  R: -2.94deg  P: 98.94deg  aX: -0.38m/s2  aY: -9.03m/s2  aZ: -1.39m/s2 
 H: 5.69deg  R: -2.88deg  P: 98.81deg  aX: -0.65m/s2  aY: -9.50m/s2  aZ: -1.44m/s2 
 H: 5.69deg  R: -2.88deg  P: 98.75deg  aX: -0.08m/s2  aY: -9.55m/s2  aZ: -1.24m/s2 
 H: 5.69deg  R: -2.81deg  P: 98.69deg  aX: -0.65m/s2  aY: -9.05m/s2  aZ: -1.39m/s2 
 H: 5.75deg  R: -2.81deg  P: 98.63deg  aX: -0.18m/s2  aY: -9.86m/s2  aZ: -1.28m/s2 
 H: 5.88deg  R: -2.69deg  P: 98.63deg  aX: -0.36m/s2  aY: -9.91m/s2  aZ: -1.22m/s2 
 H: 5.94deg  R: -2.69deg  P: 98.69deg  aX: 0.00m/s2  aY: -9.75m/s2  aZ: -1.43m/s2 
 H: 5.88deg  R: -2.69deg  P: 98.75deg  aX: -0.41m/s2  aY: -10.10m/s2  aZ: -1.66m/s2 
 H: 5.94deg  R: -2.63deg  P: 98.81deg  aX: -0.32m/s2  aY: -9.35m/s2  aZ: -1.45m/s2 
 H: 5.88deg  R: -2.69deg  P: 98.94deg  aX: -0.59m/s2  aY: -10.03m/s2  aZ: -1.37m/s2 
 H: 5.94deg  R: -2.75deg  P: 99.13deg  aX: -0.14m/s2  aY: -9.57m/s2  aZ: -1.71m/s2 
 H: 5.81deg  R: -2.88deg  P: 99.50deg  aX: -0.08m/s2  aY: -9.57m/s2  aZ: -1.09m/s2 
 H: 5.88deg  R: -2.81deg  P: 99.50deg  aX: -0.39m/s2  aY: -9.55m/s2  aZ: -1.64m/s2 
 H: 5.88deg  R: -2.81deg  P: 99.56deg  aX: -0.35m/s2  aY: -9.68m/s2  aZ: -1.70m/s2 
 H: 5.88deg  R: -2.81deg  P: 99.63deg  aX: -0.50m/s2  aY: -9.39m/s2  aZ: -1.60m/s2 
 H: 5.88deg  R: -2.81deg  P: 99.63deg  aX: -0.12m/s2  aY: -9.35m/s2  aZ: -1.31m/s2 
