 H: 252.06deg  R: -3.56deg  P: 91.19deg  aX: -0.26m/s2  aY: -9.56m/s2  aZ: -0.06m/s2 
 H: 251.56deg  R: -3.56deg  P: 91.25deg  aX: -0.37m/s2  aY: -9.76m/s2  aZ: -0.04m/s2 
 H: 251.69deg  R: -3.56deg  P: 91.38deg  aX: -0.46m/s2  aY: -9.78m/s2  aZ: -0.07m/s2 
 H: 251.81deg  R: -3.63deg  P: 91.44deg  aX: -0.83m/s2  aY: -9.93m/s2  aZ: 0.07m/s2 
 H: 251.31deg  R: -3.69deg  P: 91.56deg  aX: -1.23m/s2  aY: -9.85m/s2  aZ: -0.37m/s2 
 H: 251.25deg  R: -3.81deg  P: 91.63deg  aX: -0.96m/s2  aY: -9.13m/s2  aZ: -0.55m/s2 
 H: 251.19deg  R: -3.88deg  P: 91.69deg  aX: -0.78m/s2  aY: -9.73m/s2  aZ: -0.15m/s2 
 H: 250.75deg  R: -3.94deg  P: 91.75deg  aX: -0.88m/s2  aY: -9.59m/s2  aZ: -0.26m/s2 
 H: 250.88deg  R: -4.00deg  P: 91.94deg  aX: -0.89m/s2  aY: -9.97m/s2  aZ: -0.46m/s2 
 H: 250.56deg  R: -3.94deg  P: 91.94deg  aX: -0.92m/s2  aY: -10.21m/s2  aZ: -0.72m/s2 
 H: 250.63deg  R: -3.94deg  P: 92.00deg  aX: -1.17m/s2  aY: -9.53m/s2  aZ: -0.89m/s2 
 H: 250.63deg  R: -4.00deg  P: 92.06deg  aX: -0.82m/s2  aY: -9.66m/s2  aZ: -0.78m/s2 
 H: 250.50deg  R: -4.06deg  P: 92.13deg  aX: -0.63m/s2  aY: -9.72m/s2  aZ: -0.34m/s2 
 H: 250.56deg  R: -4.06deg  P: 92.19deg  aX: -1.01m/s2  aY: -9.66m/s2  aZ: -0.29m/s2 
 H: 250.19deg  R: -4.06deg  P: 92.19deg  aX: -0.76m/s2  aY: -9.80m/s2  aZ: -0.38m/s2 
 H: 250.25deg  R: -4.06deg  P: 92.19deg  aX: -0.70m/s2  aY: -9.80m/s2  aZ: -0.50m/s2 
 H: 250.25deg  R: -4.06deg  P: 92.19deg  aX: -0.52m/s2  aY: -9.70m/s2  aZ: -0.46m/s2 
 H: 250.13deg  R: -4.06deg  P: 92.19deg  aX: -0.53m/s2  aY: -9.59m/s2  aZ: -0.34m/s2 
 H: 250.13deg  R: -4.06deg  P: 92.25deg  aX: -1.15m/s2  aY: -9.36m/s2  aZ: -0.19m/s2 
 H: 249.88deg  R: -4.06deg  P: 92.25deg  aX: -1.00m/s2  aY: -9.75m/s2  aZ: -0.26m/s2 
 H: 249.94deg  R: -4.06deg  P: 92.25deg  aX: -1.15m/s2  aY: -9.85m/s2  aZ: -0.52m/s2 
 H: 249.94deg  R: -4.06deg  P: 92.31deg  aX: -0.92m/s2  aY: -10.05m/s2  aZ: -0.39m/s2 
 H: 249.75deg  R: -4.13deg  P: 92.31deg  aX: -0.80m/s2  aY: -9.42m/s2  aZ: -0.36m/s2 
 H: 249.75deg  R: -4.06deg  P: 92.31deg  aX: -0.89m/s2  aY: -9.55m/s2  aZ: -0.37m/s2 
 H: 249.75deg  R: -4.06deg  P: 92.31deg  aX: -0.52m/s2  aY: -10.09m/s2  aZ: -0.41m/s2 
 H: 249.81deg  R: -4.00deg  P: 92.31deg  aX: -0.86m/s2  aY: -9.56m/s2  aZ: -0.38m/s2 
 H: 249.63deg  R: -4.06deg  P: 92.31deg  aX: -0.49m/s2  aY: -9.51m/s2  aZ: -0.26m/s2 
 H: 249.50deg  R: -4.06deg  P: 92.38deg  aX: -0.07m/s2  aY: -9.70m/s2  aZ: -0.40m/s2 
 H: 249.56deg  R: -4.06deg  P: 92.38deg  aX: 0.01m/s2  aY: -9.79m/s2  aZ: -0.29m/s2 
 H: 249.69deg  R: -3.94deg  P: 92.38deg  aX: -0.26m/s2  aY: -9.63m/s2  aZ: 0.01m/s2 
 H: 249.81deg  R: -4.00deg  P: 92.44deg  aX: -0.46m/s2  aY: -9.23m/s2  aZ: -0.03m/s2 
 H: 249.94deg  R: -3.94deg  P: 92.38deg  aX: -0.77m/s2  aY: -9.47m/s2  aZ: -0.27m/s2 
 H: 250.06deg  R: -3.94deg  P: 92.44deg  aX: -0.65m/s2  aY: -10.04m/s2  aZ: -0.56m/s2 
 H: 249.94deg  R: -3.94deg  P: 92.44deg  aX: -1.23m/s2  aY: -9.86m/s2  aZ: -0.69m/s2 
 H: 250.06deg  R: -3.94deg  P: 92.50deg  aX: -1.27m/s2  aY: -9.87m/s2  aZ: -0.66m/s2 
 H: 250.06deg  R: -4.00deg  P: 92.56deg  aX: -1.34m/s2  aY: -9.69m/s2  aZ: -0.61m/s2 
 H: 250.06deg  R: -4.00deg  P: 92.56deg  aX: -1.06m/s2  aY: -9.42m/s2  aZ: -0.30m/s2 
 H: 250.06deg  R: -4.00deg  P: 92.63deg  aX: -0.99m/s2  aY: -9.70m/s2  aZ: -0.18m/s2 
 H: 250.13deg  R: -3.94deg  P: 92.69deg  aX: -0.87m/s2  aY: -9.57m/s2  aZ: -0.54m/s2 
 H: 250.06deg  R: -3.94deg  P: 92.75deg  aX: -0.35m/s2  aY: -9.80m/s2  aZ: -0.45m/s2 
 H: 250.06deg  R: -3.94deg  P: 92.81deg  aX: -0.44m/s2  aY: -9.62m/s2  aZ: -0.22m/s2 
 H: 250.13deg  R: -3.94deg  P: 92.88deg  aX: -0.46m/s2  aY: -9.65m/s2  aZ: -0.46m/s2 
 H: 250.19deg  R: -3.88deg  P: 92.94deg  aX: -0.33m/s2  aY: -9.68m/s2  aZ: -0.61m/s2 
 H: 250.38deg  R: -3.81deg  P: 93.00deg  aX: -0.04m/s2  aY: -10.31m/s2  aZ: -0.44m/s2 
 H: 250.38deg  R: -3.81deg  P: 93.00deg  aX: -0.11m/s2  aY: -9.82m/s2  aZ: -0.75m/s2 
 H: 250.38deg  R: -3.88deg  P: 93.06deg  aX: -0.12m/s2  aY: -9.64m/s2  aZ: -0.47m/s2 
 H: 250.38deg  R: -4.00deg  P: 93.13deg  aX: -0.78m/s2  aY: -9.66m/s2  aZ: -0.30m/s2 
 H: 250.31deg  R: -4.13deg  P: 93.25deg  aX: -0.88m/s2  aY: -10.14m/s2  aZ: -0.55m/s2 
 H: 250.25deg  R: -4.19deg  P: 93.31deg  aX: -0.68m/s2  aY: -9.75m/s2  aZ: -0.75m/s2 
 H: 250.19deg  R: -4.31deg  P: 93.44deg  aX: -0.41m/s2  aY: -9.43m/s2  aZ: -0.46m/s2 
 H: 250.13deg  R: -4.44deg  P: 93.50deg  aX: -0.37m/s2  aY: -9.54m/s2  aZ: -0.37m/s2 
 H: 250.13deg  R: -4.56deg  P: 93.63deg  aX: -0.36m/s2  aY: -9.59m/s2  aZ: -0.49m/s2 
 H: 250.13deg  R: -4.69deg  P: 93.69deg  aX: -0.35m/s2  aY: -9.80m/s2  aZ: -0.55m/s2 
 H: 250.13deg  R: -4.75deg  P: 93.81deg  aX: -1.16m/s2  aY: -9.71m/s2  aZ: -0.50m/s2 
 H: 250.13deg  R: -4.94deg  P: 93.88deg  aX: -1.21m/s2  aY: -10.07m/s2  aZ: -0.93m/s2 
 H: 250.00deg  R: -5.13deg  P: 93.94deg  aX: -1.30m/s2  aY: -9.60m/s2  aZ: -0.72m/s2 
