 H: 251.31deg  R: -5.81deg  P: 92.00deg  aX: -1.12m/s2  aY: -9.55m/s2  aZ: -0.35m/s2 
 H: 251.06deg  R: -6.00deg  P: 92.06deg  aX: -1.08m/s2  aY: -9.93m/s2  aZ: -0.45m/s2 
 H: 251.06deg  R: -6.06deg  P: 92.13deg  aX: -0.92m/s2  aY: -9.70m/s2  aZ: -0.50m/s2 
 H: 250.94deg  R: -6.19deg  P: 92.13deg  aX: -0.99m/s2  aY: -9.68m/s2  aZ: -0.51m/s2 
 H: 250.88deg  R: -6.25deg  P: 92.13deg  aX: -1.33m/s2  aY: -9.79m/s2  aZ: -0.38m/s2 
 H: 250.81deg  R: -6.31deg  P: 92.06deg  aX: -1.36m/s2  aY: -9.58m/s2  aZ: -0.44m/s2 
 H: 250.75deg  R: -6.31deg  P: 92.06deg  aX: -1.52m/s2  aY: -9.86m/s2  aZ: -0.25m/s2 
 H: 250.69deg  R: -6.38deg  P: 92.00deg  aX: -1.33m/s2  aY: -9.49m/s2  aZ: -0.29m/s2 
 H: 250.56deg  R: -6.44deg  P: 91.94deg  aX: -1.26m/s2  aY: -9.22m/s2  aZ: -0.28m/s2 
 H: 250.50deg  R: -6.44deg  P: 91.94deg  aX: -1.24m/s2  aY: -9.76m/s2  aZ: -0.07m/s2 
 H: 250.50deg  R: -6.38deg  P: 91.94deg  aX: -0.99m/s2  aY: -9.93m/s2  aZ: -0.07m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.76m/s2  aY: -9.39m/s2  aZ: -0.17m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.82m/s2  aY: -9.59m/s2  aZ: -0.19m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.81m/s2  aY: -9.44m/s2  aZ: -0.25m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.92m/s2  aY: -9.84m/s2  aZ: -0.06m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.81m/s2  aY: -9.79m/s2  aZ: -0.07m/s2 
 H: 250.38deg  R: -6.38deg  P: 91.94deg  aX: -0.90m/s2  aY: -9.45m/s2  aZ: -0.23m/s2 
 H: 250.44deg  R: -6.38deg  P: 92.00deg  aX: -1.18m/s2  aY: -9.83m/s2  aZ: -0.27m/s2 
 H: 250.44deg  R: -6.44deg  P: 92.06deg  aX: -1.15m/s2  aY: -9.62m/s2  aZ: -0.36m/s2 
 H: 250.38deg  R: -6.50deg  P: 92.13deg  aX: -1.06m/s2  aY: -9.40m/s2  aZ: -0.51m/s2 
 H: 250.38deg  R: -6.50deg  P: 92.19deg  aX: -1.37m/s2  aY: -9.96m/s2  aZ: -0.15m/s2 
 H: 250.38deg  R: -6.56deg  P: 92.25deg  aX: -1.11m/s2  aY: -9.77m/s2  aZ: -0.33m/s2 
 H: 250.31deg  R: -6.63deg  P: 92.25deg  aX: -1.11m/s2  aY: -9.19m/s2  aZ: -0.68m/s2 
 H: 250.38deg  R: -6.63deg  P: 92.31deg  aX: -1.56m/s2  aY: -9.99m/s2  aZ: -0.31m/s2 
 H: 250.38deg  R: -6.63deg  P: 92.31deg  aX: -1.23m/s2  aY: -9.96m/s2  aZ: -0.41m/s2 
 H: 250.31deg  R: -6.63deg  P: 92.31deg  aX: -1.15m/s2  aY: -9.34m/s2  aZ: -0.56m/s2 
 H: 250.38deg  R: -6.63deg  P: 92.31deg  aX: -1.30m/s2  aY: -9.66m/s2  aZ: -0.43m/s2 
 H: 250.38deg  R: -6.63deg  P: 92.38deg  aX: -0.95m/s2  aY: -9.56m/s2  aZ: -0.39m/s2 
 H: 250.31deg  R: -6.69deg  P: 92.38deg  aX: -1.30m/s2  aY: -9.45m/s2  aZ: -0.46m/s2 
 H: 250.38deg  R: -6.69deg  P: 92.38deg  aX: -1.60m/s2  aY: -10.09m/s2  aZ: -0.28m/s2 
 H: 250.38deg  R: -6.63deg  P: 92.38deg  aX: -0.85m/s2  aY: -9.47m/s2  aZ: -0.29m/s2 
 H: 250.31deg  R: -6.69deg  P: 92.38deg  aX: -0.76m/s2  aY: -9.25m/s2  aZ: -0.38m/s2 
 H: 250.31deg  R: -6.69deg  P: 92.38deg  aX: -1.09m/s2  aY: -9.48m/s2  aZ: -0.37m/s2 
 H: 250.38deg  R: -6.69deg  P: 92.44deg  aX: -1.04m/s2  aY: -9.73m/s2  aZ: -0.33m/s2 
 H: 250.31deg  R: -6.69deg  P: 92.44deg  aX: -1.15m/s2  aY: -9.47m/s2  aZ: -0.53m/s2 
 H: 250.38deg  R: -6.69deg  P: 92.50deg  aX: -1.30m/s2  aY: -9.93m/s2  aZ: -0.39m/s2 
 H: 250.31deg  R: -6.69deg  P: 92.50deg  aX: -1.15m/s2  aY: -9.52m/s2  aZ: -0.33m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.50deg  aX: -1.08m/s2  aY: -9.61m/s2  aZ: -0.37m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.50deg  aX: -1.31m/s2  aY: -9.81m/s2  aZ: -0.38m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.50deg  aX: -0.92m/s2  aY: -9.48m/s2  aZ: -0.52m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.50deg  aX: -1.02m/s2  aY: -9.44m/s2  aZ: -0.64m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.56deg  aX: -1.38m/s2  aY: -9.76m/s2  aZ: -0.39m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.56deg  aX: -1.13m/s2  aY: -9.83m/s2  aZ: -0.18m/s2 
 H: 250.25deg  R: -6.75deg  P: 92.56deg  aX: -1.02m/s2  aY: -9.22m/s2  aZ: -0.59m/s2 
 H: 250.25deg  R: -6.75deg  P: 92.56deg  aX: -1.17m/s2  aY: -9.88m/s2  aZ: -0.43m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.63deg  aX: -1.13m/s2  aY: -9.56m/s2  aZ: -0.31m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.56deg  aX: -1.02m/s2  aY: -9.50m/s2  aZ: -0.50m/s2 
 H: 250.31deg  R: -6.75deg  P: 92.56deg  aX: -1.03m/s2  aY: -9.76m/s2  aZ: -0.40m/s2 
 H: 250.38deg  R: -6.75deg  P: 92.63deg  aX: -0.95m/s2  aY: -9.84m/s2  aZ: -0.39m/s2 
 H: 250.56deg  R: -6.75deg  P: 92.56deg  aX: -1.25m/s2  aY: -9.67m/s2  aZ: -0.58m/s2 
 H: 250.69deg  R: -6.69deg  P: 92.56deg  aX: -1.40m/s2  aY: -9.52m/s2  aZ: -0.48m/s2 
 H: 250.69deg  R: -6.69deg  P: 92.56deg  aX: -1.23m/s2  aY: -9.74m/s2  aZ: -0.24m/s2 
 H: 250.81deg  R: -6.69deg  P: 92.50deg  aX: -1.29m/s2  aY: -9.73m/s2  aZ: -0.41m/s2 
 H: 250.88deg  R: -6.69deg  P: 92.50deg  aX: -1.26m/s2  aY: -9.46m/s2  aZ: -0.47m/s2 
 H: 250.88deg  R: -6.69deg  P: 92.50deg  aX: -1.10m/s2  aY: -9.56m/s2  aZ: -0.27m/s2 
 H: 250.94deg  R: -6.69deg  P: 92.50deg  aX: -1.25m/s2  aY: -9.72m/s2  aZ: -0.21m/s2 
 H: 251.00deg  R: -6.69deg  P: 92.50deg  aX: -1.25m/s2  aY: -9.72m/s2  aZ: -0.17m/s2 
 H: 251.00deg  R: -6.69deg  P: 92.50deg  aX: -1.04m/s2  aY: -9.60m/s2  aZ: -0.36m/s2 
 H: 251.00deg  R: -6.69deg  P: 92.50deg  aX: -1.00m/s2  aY: -9.38m/s2  aZ: -0.49m/s2 
 H: 251.00deg  R: -6.69deg  P: 92.50deg  aX: -0.94m/s2  aY: -9.62m/s2  aZ: -0.32m/s2 
 H: 251.13deg  R: -6.69deg  P: 92.50deg  aX: -1.46m/s2  aY: -9.83m/s2  aZ: -0.34m/s2 
 H: 251.13deg  R: -6.63deg  P: 92.56deg  aX: -1.09m/s2  aY: -9.63m/s2  aZ: -0.43m/s2 
 H: 251.13deg  R: -6.69deg  P: 92.56deg  aX: -0.94m/s2  aY: -9.37m/s2  aZ: -0.58m/s2 
 H: 251.13deg  R: -6.69deg  P: 92.56deg  aX: -1.27m/s2  aY: -9.75m/s2  aZ: -0.46m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.21m/s2  aY: -9.86m/s2  aZ: -0.46m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.25m/s2  aY: -9.80m/s2  aZ: -0.50m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.07m/s2  aY: -9.54m/s2  aZ: -0.44m/s2 
 H: 251.13deg  R: -6.69deg  P: 92.56deg  aX: -1.06m/s2  aY: -9.46m/s2  aZ: -0.40m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.15m/s2  aY: -9.59m/s2  aZ: -0.31m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.10m/s2  aY: -9.65m/s2  aZ: -0.38m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.08m/s2  aY: -9.57m/s2  aZ: -0.40m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.01m/s2  aY: -9.53m/s2  aZ: -0.47m/s2 
 H: 251.19deg  R: -6.69deg  P: 92.56deg  aX: -1.31m/s2  aY: -9.33m/s2  aZ: -0.46m/s2 
 H: 251.25deg  R: -6.69deg  P: 92.63deg  aX: -1.35m/s2  aY: -9.86m/s2  aZ: -0.11m/s2 
