 H: 78.69deg  R: -16.31deg  P: -37.88deg  aX: -2.84m/s2  aY: 5.88m/s2  aZ: 7.13m/s2 
 H: 78.75deg  R: -16.50deg  P: -37.88deg  aX: -2.38m/s2  aY: 5.79m/s2  aZ: 7.44m/s2 
 H: 78.81deg  R: -16.56deg  P: -37.94deg  aX: -2.12m/s2  aY: 5.69m/s2  aZ: 7.45m/s2 
 H: 78.94deg  R: -16.69deg  P: -37.94deg  aX: -2.68m/s2  aY: 5.54m/s2  aZ: 7.24m/s2 
 H: 79.00deg  R: -16.75deg  P: -37.94deg  aX: -3.00m/s2  aY: 6.15m/s2  aZ: 7.49m/s2 
 H: 79.88deg  R: -17.56deg  P: -37.31deg  aX: -3.04m/s2  aY: 5.71m/s2  aZ: 7.68m/s2 
 H: 80.81deg  R: -18.00deg  P: -36.75deg  aX: -2.83m/s2  aY: 5.50m/s2  aZ: 7.48m/s2 
 H: 81.00deg  R: -18.06deg  P: -36.44deg  aX: -2.90m/s2  aY: 5.44m/s2  aZ: 7.40m/s2 
 H: 81.00deg  R: -18.00deg  P: -36.44deg  aX: -2.70m/s2  aY: 5.49m/s2  aZ: 7.22m/s2 
 H: 81.13deg  R: -18.13deg  P: -36.38deg  aX: -2.89m/s2  aY: 5.37m/s2  aZ: 7.28m/s2 
 H: 81.13deg  R: -18.06deg  P: -36.44deg  aX: -2.80m/s2  aY: 5.58m/s2  aZ: 7.56m/s2 
 H: 81.06deg  R: -18.19deg  P: -36.44deg  aX: -2.70m/s2  aY: 5.48m/s2  aZ: 7.27m/s2 
 H: 81.00deg  R: -18.31deg  P: -36.38deg  aX: -3.09m/s2  aY: 5.29m/s2  aZ: 7.34m/s2 
 H: 81.06deg  R: -18.38deg  P: -36.38deg  aX: -2.62m/s2  aY: 5.77m/s2  aZ: 7.52m/s2 
 H: 81.06deg  R: -18.44deg  P: -36.44deg  aX: -3.03m/s2  aY: 5.46m/s2  aZ: 7.50m/s2 
 H: 81.06deg  R: -18.44deg  P: -36.44deg  aX: -3.18m/s2  aY: 5.25m/s2  aZ: 7.18m/s2 
 H: 81.06deg  R: -18.38deg  P: -36.44deg  aX: -2.66m/s2  aY: 5.63m/s2  aZ: 7.32m/s2 
 H: 81.06deg  R: -18.38deg  P: -36.44deg  aX: -2.87m/s2  aY: 5.86m/s2  aZ: 7.73m/s2 
 H: 81.06deg  R: -18.38deg  P: -36.44deg  aX: -2.86m/s2  aY: 5.60m/s2  aZ: 7.43m/s2 
 H: 81.06deg  R: -18.44deg  P: -36.38deg  aX: -2.99m/s2  aY: 5.46m/s2  aZ: 7.34m/s2 
 H: 81.13deg  R: -18.50deg  P: -36.38deg  aX: -3.01m/s2  aY: 5.16m/s2  aZ: 7.27m/s2 
 H: 81.13deg  R: -18.50deg  P: -36.38deg  aX: -2.87m/s2  aY: 5.42m/s2  aZ: 7.31m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.38deg  aX: -2.53m/s2  aY: 5.69m/s2  aZ: 7.42m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.31deg  aX: -2.75m/s2  aY: 5.64m/s2  aZ: 7.23m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.25deg  aX: -2.91m/s2  aY: 5.23m/s2  aZ: 7.47m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.25deg  aX: -2.81m/s2  aY: 5.20m/s2  aZ: 7.04m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.25deg  aX: -2.77m/s2  aY: 5.49m/s2  aZ: 7.39m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.25deg  aX: -2.66m/s2  aY: 5.54m/s2  aZ: 7.08m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.25deg  aX: -2.93m/s2  aY: 5.32m/s2  aZ: 7.64m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.25deg  aX: -2.97m/s2  aY: 5.38m/s2  aZ: 7.30m/s2 
 H: 81.25deg  R: -18.44deg  P: -36.25deg  aX: -2.79m/s2  aY: 5.71m/s2  aZ: 7.25m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.25deg  aX: -2.84m/s2  aY: 5.44m/s2  aZ: 7.73m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.25deg  aX: -3.02m/s2  aY: 5.50m/s2  aZ: 7.53m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.25deg  aX: -2.91m/s2  aY: 5.64m/s2  aZ: 7.63m/s2 
 H: 81.25deg  R: -18.50deg  P: -36.25deg  aX: -2.83m/s2  aY: 5.53m/s2  aZ: 7.44m/s2 
 H: 81.25deg  R: -18.44deg  P: -36.25deg  aX: -2.90m/s2  aY: 5.57m/s2  aZ: 7.55m/s2 
 H: 81.19deg  R: -18.44deg  P: -36.19deg  aX: -2.75m/s2  aY: 5.23m/s2  aZ: 7.93m/s2 
 H: 81.19deg  R: -18.50deg  P: -36.13deg  aX: -3.09m/s2  aY: 5.37m/s2  aZ: 8.06m/s2 
 H: 81.25deg  R: -18.56deg  P: -36.13deg  aX: -2.95m/s2  aY: 5.46m/s2  aZ: 7.53m/s2 
 H: 81.25deg  R: -18.63deg  P: -36.06deg  aX: -3.02m/s2  aY: 5.42m/s2  aZ: 7.44m/s2 
 H: 81.25deg  R: -18.69deg  P: -36.00deg  aX: -2.96m/s2  aY: 5.90m/s2  aZ: 7.51m/s2 
 H: 81.19deg  R: -18.69deg  P: -36.00deg  aX: -3.14m/s2  aY: 5.73m/s2  aZ: 7.23m/s2 
 H: 81.19deg  R: -18.75deg  P: -35.94deg  aX: -2.56m/s2  aY: 5.60m/s2  aZ: 7.22m/s2 
 H: 81.19deg  R: -18.75deg  P: -35.88deg  aX: -2.98m/s2  aY: 5.50m/s2  aZ: 7.22m/s2 
 H: 81.13deg  R: -18.81deg  P: -35.81deg  aX: -2.94m/s2  aY: 5.38m/s2  aZ: 7.44m/s2 
 H: 81.19deg  R: -18.88deg  P: -35.75deg  aX: -2.72m/s2  aY: 5.26m/s2  aZ: 7.40m/s2 
 H: 81.25deg  R: -18.88deg  P: -35.63deg  aX: -2.64m/s2  aY: 5.25m/s2  aZ: 7.26m/s2 
 H: 81.31deg  R: -18.88deg  P: -35.56deg  aX: -2.98m/s2  aY: 5.22m/s2  aZ: 7.22m/s2 
