 H: 156.94deg  R: 3.88deg  P: 4.00deg  aX: 0.62m/s2  aY: -0.17m/s2  aZ: 8.78m/s2 
 H: 156.38deg  R: 3.81deg  P: 4.31deg  aX: 0.63m/s2  aY: -0.45m/s2  aZ: 9.78m/s2 
 H: 156.44deg  R: 3.75deg  P: 4.69deg  aX: 0.75m/s2  aY: -0.71m/s2  aZ: 9.83m/s2 
 H: 156.56deg  R: 3.69deg  P: 5.00deg  aX: 0.59m/s2  aY: -0.97m/s2  aZ: 9.18m/s2 
 H: 155.94deg  R: 3.63deg  P: 5.25deg  aX: 0.57m/s2  aY: -0.76m/s2  aZ: 8.75m/s2 
 H: 156.00deg  R: 3.56deg  P: 5.31deg  aX: 1.00m/s2  aY: -0.47m/s2  aZ: 9.56m/s2 
 H: 155.69deg  R: 3.56deg  P: 5.56deg  aX: 0.15m/s2  aY: -0.62m/s2  aZ: 9.88m/s2 
 H: 155.75deg  R: 3.56deg  P: 5.63deg  aX: 0.00m/s2  aY: -0.59m/s2  aZ: 9.48m/s2 
 H: 155.88deg  R: 3.63deg  P: 5.69deg  aX: 0.93m/s2  aY: -1.36m/s2  aZ: 9.56m/s2 
 H: 155.13deg  R: 3.69deg  P: 5.75deg  aX: 0.95m/s2  aY: -1.77m/s2  aZ: 9.99m/s2 
 H: 155.19deg  R: 3.69deg  P: 5.81deg  aX: 0.12m/s2  aY: -1.10m/s2  aZ: 9.52m/s2 
 H: 155.31deg  R: 3.63deg  P: 5.88deg  aX: 0.10m/s2  aY: -0.81m/s2  aZ: 9.64m/s2 
 H: 155.00deg  R: 3.63deg  P: 5.88deg  aX: 0.22m/s2  aY: -0.53m/s2  aZ: 9.60m/s2 
 H: 155.06deg  R: 3.63deg  P: 6.00deg  aX: 0.83m/s2  aY: -1.05m/s2  aZ: 10.56m/s2 
 H: 154.69deg  R: 3.44deg  P: 6.06deg  aX: -0.08m/s2  aY: -1.36m/s2  aZ: 9.27m/s2 
 H: 154.69deg  R: 3.38deg  P: 6.06deg  aX: 0.49m/s2  aY: -1.17m/s2  aZ: 9.27m/s2 
 H: 154.63deg  R: 3.38deg  P: 6.06deg  aX: 0.87m/s2  aY: -1.13m/s2  aZ: 9.41m/s2 
 H: 154.00deg  R: 3.31deg  P: 6.06deg  aX: 0.41m/s2  aY: -1.11m/s2  aZ: 9.99m/s2 
 H: 153.94deg  R: 3.19deg  P: 6.06deg  aX: 0.53m/s2  aY: -0.89m/s2  aZ: 9.46m/s2 
 H: 153.63deg  R: 3.13deg  P: 6.00deg  aX: 0.56m/s2  aY: -1.04m/s2  aZ: 9.23m/s2 
 H: 153.56deg  R: 3.13deg  P: 6.00deg  aX: 1.09m/s2  aY: -1.50m/s2  aZ: 10.00m/s2 
 H: 153.50deg  R: 3.13deg  P: 5.94deg  aX: 1.07m/s2  aY: -1.52m/s2  aZ: 9.98m/s2 
 H: 153.13deg  R: 3.13deg  P: 5.94deg  aX: 0.77m/s2  aY: -1.07m/s2  aZ: 9.88m/s2 
 H: 153.13deg  R: 3.06deg  P: 5.94deg  aX: 0.54m/s2  aY: -0.85m/s2  aZ: 9.60m/s2 
 H: 152.88deg  R: 3.00deg  P: 5.94deg  aX: 0.49m/s2  aY: -1.22m/s2  aZ: 9.75m/s2 
 H: 152.88deg  R: 3.00deg  P: 5.94deg  aX: 0.51m/s2  aY: -1.18m/s2  aZ: 9.67m/s2 
 H: 152.88deg  R: 2.94deg  P: 5.94deg  aX: 0.71m/s2  aY: -1.04m/s2  aZ: 9.66m/s2 
 H: 152.38deg  R: 2.88deg  P: 5.88deg  aX: 0.57m/s2  aY: -0.74m/s2  aZ: 9.72m/s2 
 H: 152.38deg  R: 2.88deg  P: 5.88deg  aX: 0.22m/s2  aY: -0.86m/s2  aZ: 9.92m/s2 
 H: 151.94deg  R: 2.81deg  P: 5.88deg  aX: 0.56m/s2  aY: -0.90m/s2  aZ: 9.86m/s2 
 H: 151.94deg  R: 2.81deg  P: 5.88deg  aX: 0.65m/s2  aY: -1.18m/s2  aZ: 9.57m/s2 
