 H: 11.69deg  R: -0.50deg  P: 110.19deg  aX: -0.25m/s2  aY: -9.57m/s2  aZ: -3.44m/s2 
 H: 11.63deg  R: -0.50deg  P: 110.19deg  aX: -0.18m/s2  aY: -9.01m/s2  aZ: -3.20m/s2 
 H: 11.56deg  R: -0.50deg  P: 110.25deg  aX: -0.30m/s2  aY: -9.31m/s2  aZ: -3.28m/s2 
 H: 11.56deg  R: -0.50deg  P: 110.25deg  aX: -0.21m/s2  aY: -9.67m/s2  aZ: -3.42m/s2 
 H: 11.56deg  R: -0.50deg  P: 110.25deg  aX: -0.09m/s2  aY: -9.44m/s2  aZ: -3.26m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.31deg  aX: -0.19m/s2  aY: -9.65m/s2  aZ: -3.48m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.31deg  aX: -0.34m/s2  aY: -9.11m/s2  aZ: -3.57m/s2 
 H: 11.31deg  R: -0.56deg  P: 110.31deg  aX: -0.06m/s2  aY: -9.34m/s2  aZ: -3.28m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.31deg  aX: -0.24m/s2  aY: -9.43m/s2  aZ: -3.35m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.25deg  aX: -0.13m/s2  aY: -9.65m/s2  aZ: -3.26m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.25deg  aX: -0.03m/s2  aY: -9.41m/s2  aZ: -3.33m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.19deg  aX: -0.30m/s2  aY: -9.29m/s2  aZ: -3.44m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.19deg  aX: -0.12m/s2  aY: -9.23m/s2  aZ: -3.16m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.19deg  aX: -0.20m/s2  aY: -9.53m/s2  aZ: -3.41m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.19deg  aX: -0.06m/s2  aY: -9.47m/s2  aZ: -3.32m/s2 
 H: 11.38deg  R: -0.56deg  P: 110.19deg  aX: -0.21m/s2  aY: -9.45m/s2  aZ: -3.34m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.19deg  aX: -0.30m/s2  aY: -9.43m/s2  aZ: -3.27m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.19deg  aX: -0.16m/s2  aY: -9.35m/s2  aZ: -3.26m/s2 
 H: 11.44deg  R: -0.56deg  P: 110.19deg  aX: -0.19m/s2  aY: -9.26m/s2  aZ: -3.51m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.13m/s2  aY: -9.61m/s2  aZ: -3.30m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.20m/s2  aY: -9.37m/s2  aZ: -3.23m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.13m/s2  aY: -9.53m/s2  aZ: -3.27m/s2 
 H: 11.38deg  R: -0.63deg  P: 110.19deg  aX: -0.31m/s2  aY: -9.43m/s2  aZ: -3.49m/s2 
