 H: 350.88deg  R: -6.75deg  P: 57.88deg  aX: -0.91m/s2  aY: -7.99m/s2  aZ: 5.51m/s2 
 H: 351.06deg  R: -6.69deg  P: 58.13deg  aX: -1.38m/s2  aY: -8.25m/s2  aZ: 4.99m/s2 
 H: 351.19deg  R: -6.63deg  P: 58.25deg  aX: -1.40m/s2  aY: -8.47m/s2  aZ: 4.80m/s2 
 H: 351.25deg  R: -6.56deg  P: 58.50deg  aX: -1.06m/s2  aY: -8.69m/s2  aZ: 4.73m/s2 
 H: 351.19deg  R: -6.50deg  P: 58.75deg  aX: -0.95m/s2  aY: -8.52m/s2  aZ: 4.66m/s2 
 H: 351.19deg  R: -6.50deg  P: 58.81deg  aX: -1.17m/s2  aY: -8.52m/s2  aZ: 4.78m/s2 
 H: 351.25deg  R: -6.44deg  P: 58.94deg  aX: -1.32m/s2  aY: -8.42m/s2  aZ: 4.93m/s2 
 H: 351.25deg  R: -6.44deg  P: 59.06deg  aX: -1.42m/s2  aY: -8.51m/s2  aZ: 5.02m/s2 
 H: 351.25deg  R: -6.38deg  P: 59.06deg  aX: -1.20m/s2  aY: -8.40m/s2  aZ: 4.75m/s2 
 H: 351.25deg  R: -6.38deg  P: 59.06deg  aX: -1.07m/s2  aY: -8.44m/s2  aZ: 4.72m/s2 
 H: 351.19deg  R: -6.31deg  P: 59.13deg  aX: -1.10m/s2  aY: -8.45m/s2  aZ: 4.76m/s2 
 H: 351.13deg  R: -6.25deg  P: 59.13deg  aX: -1.29m/s2  aY: -8.75m/s2  aZ: 4.69m/s2 
 H: 351.13deg  R: -6.25deg  P: 59.13deg  aX: -1.15m/s2  aY: -8.91m/s2  aZ: 4.28m/s2 
 H: 351.06deg  R: -6.25deg  P: 59.13deg  aX: -0.95m/s2  aY: -8.87m/s2  aZ: 4.00m/s2 
 H: 351.00deg  R: -6.19deg  P: 59.13deg  aX: -1.00m/s2  aY: -8.91m/s2  aZ: 4.36m/s2 
 H: 351.00deg  R: -6.19deg  P: 59.19deg  aX: -1.09m/s2  aY: -8.75m/s2  aZ: 4.57m/s2 
 H: 350.94deg  R: -6.13deg  P: 59.19deg  aX: -1.10m/s2  aY: -8.34m/s2  aZ: 4.83m/s2 
 H: 350.94deg  R: -6.13deg  P: 59.19deg  aX: -1.15m/s2  aY: -8.34m/s2  aZ: 5.03m/s2 
 H: 350.88deg  R: -6.13deg  P: 59.25deg  aX: -1.05m/s2  aY: -8.24m/s2  aZ: 5.17m/s2 
 H: 350.81deg  R: -6.13deg  P: 59.25deg  aX: -0.91m/s2  aY: -8.15m/s2  aZ: 5.14m/s2 
 H: 350.63deg  R: -6.06deg  P: 59.19deg  aX: -1.05m/s2  aY: -8.18m/s2  aZ: 5.17m/s2 
 H: 350.63deg  R: -6.06deg  P: 59.19deg  aX: -1.10m/s2  aY: -8.32m/s2  aZ: 5.00m/s2 
 H: 350.50deg  R: -6.06deg  P: 59.19deg  aX: -1.06m/s2  aY: -8.35m/s2  aZ: 5.00m/s2 
 H: 350.44deg  R: -6.06deg  P: 59.19deg  aX: -1.06m/s2  aY: -8.29m/s2  aZ: 5.09m/s2 
 H: 350.44deg  R: -6.06deg  P: 59.19deg  aX: -1.19m/s2  aY: -8.45m/s2  aZ: 4.79m/s2 
 H: 350.44deg  R: -6.06deg  P: 59.19deg  aX: -1.08m/s2  aY: -8.44m/s2  aZ: 4.69m/s2 
 H: 350.44deg  R: -6.00deg  P: 59.19deg  aX: -1.07m/s2  aY: -8.45m/s2  aZ: 4.78m/s2 
 H: 350.44deg  R: -6.00deg  P: 59.19deg  aX: -1.04m/s2  aY: -8.58m/s2  aZ: 4.79m/s2 
