 H: 91.81deg  R: -16.38deg  P: -23.69deg  aX: -3.11m/s2  aY: 3.94m/s2  aZ: 9.30m/s2 
 H: 91.69deg  R: -16.25deg  P: -23.88deg  aX: -2.56m/s2  aY: 3.77m/s2  aZ: 8.93m/s2 
 H: 91.63deg  R: -16.25deg  P: -23.94deg  aX: -2.20m/s2  aY: 4.11m/s2  aZ: 8.49m/s2 
 H: 91.56deg  R: -16.25deg  P: -24.06deg  aX: -2.35m/s2  aY: 4.35m/s2  aZ: 8.43m/s2 
 H: 91.56deg  R: -16.44deg  P: -24.19deg  aX: -2.54m/s2  aY: 4.26m/s2  aZ: 8.32m/s2 
 H: 91.50deg  R: -16.56deg  P: -24.19deg  aX: -2.97m/s2  aY: 4.01m/s2  aZ: 8.41m/s2 
 H: 91.50deg  R: -16.69deg  P: -24.31deg  aX: -2.87m/s2  aY: 3.68m/s2  aZ: 8.58m/s2 
 H: 91.44deg  R: -16.75deg  P: -24.50deg  aX: -3.04m/s2  aY: 3.56m/s2  aZ: 8.45m/s2 
 H: 91.31deg  R: -16.69deg  P: -24.63deg  aX: -2.72m/s2  aY: 3.60m/s2  aZ: 8.43m/s2 
 H: 91.19deg  R: -16.69deg  P: -24.75deg  aX: -2.54m/s2  aY: 3.78m/s2  aZ: 8.07m/s2 
 H: 91.06deg  R: -16.75deg  P: -24.81deg  aX: -2.52m/s2  aY: 3.74m/s2  aZ: 8.51m/s2 
 H: 91.00deg  R: -16.75deg  P: -24.94deg  aX: -2.90m/s2  aY: 4.28m/s2  aZ: 8.20m/s2 
 H: 90.81deg  R: -16.81deg  P: -25.13deg  aX: -2.87m/s2  aY: 3.74m/s2  aZ: 8.15m/s2 
 H: 90.75deg  R: -16.81deg  P: -25.25deg  aX: -2.67m/s2  aY: 3.74m/s2  aZ: 8.09m/s2 
 H: 90.69deg  R: -16.81deg  P: -25.31deg  aX: -2.75m/s2  aY: 3.57m/s2  aZ: 8.34m/s2 
 H: 90.69deg  R: -16.88deg  P: -25.56deg  aX: -2.60m/s2  aY: 4.12m/s2  aZ: 7.97m/s2 
 H: 90.69deg  R: -16.88deg  P: -25.75deg  aX: -2.54m/s2  aY: 3.86m/s2  aZ: 8.38m/s2 
 H: 90.69deg  R: -16.94deg  P: -25.94deg  aX: -2.86m/s2  aY: 4.17m/s2  aZ: 8.13m/s2 
