 H: 150.06deg  R: 19.56deg  P: -79.75deg  aX: 3.32m/s2  aY: 9.08m/s2  aZ: 1.77m/s2 
 H: 150.00deg  R: 19.69deg  P: -79.75deg  aX: 2.97m/s2  aY: 9.00m/s2  aZ: 1.56m/s2 
 H: 150.00deg  R: 19.69deg  P: -79.75deg  aX: 2.99m/s2  aY: 9.07m/s2  aZ: 1.28m/s2 
 H: 150.00deg  R: 19.69deg  P: -79.75deg  aX: 3.27m/s2  aY: 9.09m/s2  aZ: 1.40m/s2 
 H: 150.00deg  R: 19.69deg  P: -79.69deg  aX: 3.66m/s2  aY: 9.23m/s2  aZ: 1.61m/s2 
 H: 150.00deg  R: 19.69deg  P: -79.63deg  aX: 3.55m/s2  aY: 8.75m/s2  aZ: 1.38m/s2 
 H: 149.81deg  R: 19.75deg  P: -79.50deg  aX: 3.65m/s2  aY: 8.69m/s2  aZ: 1.46m/s2 
 H: 149.69deg  R: 19.81deg  P: -79.50deg  aX: 3.47m/s2  aY: 8.57m/s2  aZ: 1.74m/s2 
 H: 149.56deg  R: 19.81deg  P: -79.50deg  aX: 3.02m/s2  aY: 8.63m/s2  aZ: 1.80m/s2 
 H: 149.50deg  R: 19.81deg  P: -79.50deg  aX: 3.22m/s2  aY: 9.06m/s2  aZ: 1.95m/s2 
 H: 149.44deg  R: 19.81deg  P: -79.44deg  aX: 3.27m/s2  aY: 9.07m/s2  aZ: 2.02m/s2 
 H: 149.38deg  R: 19.75deg  P: -79.44deg  aX: 2.65m/s2  aY: 8.89m/s2  aZ: 1.96m/s2 
 H: 149.38deg  R: 19.75deg  P: -79.44deg  aX: 2.97m/s2  aY: 9.12m/s2  aZ: 1.74m/s2 
 H: 149.38deg  R: 19.75deg  P: -79.44deg  aX: 3.06m/s2  aY: 9.25m/s2  aZ: 1.83m/s2 
 H: 149.38deg  R: 19.81deg  P: -79.50deg  aX: 3.29m/s2  aY: 9.07m/s2  aZ: 1.60m/s2 
 H: 149.38deg  R: 19.81deg  P: -79.50deg  aX: 3.42m/s2  aY: 8.96m/s2  aZ: 1.38m/s2 
 H: 149.38deg  R: 19.88deg  P: -79.50deg  aX: 3.54m/s2  aY: 8.94m/s2  aZ: 1.35m/s2 
 H: 149.31deg  R: 19.88deg  P: -79.50deg  aX: 3.39m/s2  aY: 8.93m/s2  aZ: 1.38m/s2 
 H: 149.25deg  R: 19.94deg  P: -79.50deg  aX: 3.33m/s2  aY: 9.06m/s2  aZ: 1.48m/s2 
 H: 149.25deg  R: 19.94deg  P: -79.56deg  aX: 3.62m/s2  aY: 8.93m/s2  aZ: 1.42m/s2 
 H: 149.13deg  R: 20.00deg  P: -79.56deg  aX: 3.93m/s2  aY: 8.77m/s2  aZ: 1.70m/s2 
 H: 149.06deg  R: 20.00deg  P: -79.50deg  aX: 3.89m/s2  aY: 8.66m/s2  aZ: 1.76m/s2 
 H: 148.94deg  R: 20.00deg  P: -79.50deg  aX: 3.30m/s2  aY: 8.60m/s2  aZ: 1.77m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.56deg  aX: 3.03m/s2  aY: 8.92m/s2  aZ: 2.32m/s2 
