2m/s2  aY: -9.77m/s2  aZ: -0.85m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.41m/s2  aY: -9.81m/s2  aZ: -0.78m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.27m/s2  aY: -9.96m/s2  aZ: -0.83m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.19deg  aX: -0.10m/s2  aY: -10.07m/s2  aZ: -0.91m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.13deg  aX: -0.04m/s2  aY: -9.87m/s2  aZ: -0.79m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.19deg  aX: -0.01m/s2  aY: -9.79m/s2  aZ: -1.03m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.22m/s2  aY: -9.77m/s2  aZ: -0.80m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.55m/s2  aY: -9.96m/s2  aZ: -0.70m/s2 
 H: 286.69deg  R: -0.81deg  P: 94.19deg  aX: -0.51m/s2  aY: -9.88m/s2  aZ: -0.77m/s2 
 H: 286.69deg  R: -0.81deg  P: 94.13deg  aX: -0.22m/s2  aY: -9.84m/s2  aZ: -0.80m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.13deg  aX: -0.15m/s2  aY: -10.02m/s2  aZ: -0.80m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.13deg  aX: 0.02m/s2  aY: -9.89m/s2  aZ: -0.83m/s2 
 H: 286.63deg  R: -0.75deg  P: 94.13deg  aX: 0.00m/s2  aY: -9.81m/s2  aZ: -0.94m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.42m/s2  aY: -9.81m/s2  aZ: -0.73m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.19deg  aX: -0.34m/s2  aY: -9.89m/s2  aZ: -0.85m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.13deg  aX: -0.25m/s2  aY: -9.98m/s2  aZ: -0.87m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.13deg  aX: -0.22m/s2  aY: -9.78m/s2  aZ: -0.70m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.19deg  aX: -0.11m/s2  aY: -9.69m/s2  aZ: -0.94m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.26m/s2  aY: -10.14m/s2  aZ: -0.73m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.28m/s2  aY: -10.14m/s2  aZ: -0.79m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.19deg  aX: -0.17m/s2  aY: -9.70m/s2  aZ: -0.93m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.19deg  aX: -0.19m/s2  aY: -9.64m/s2  aZ: -0.95m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.40m/s2  aY: -9.97m/s2  aZ: -0.74m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.44m/s2  aY: -10.15m/s2  aZ: -0.79m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.08m/s2  aY: -9.98m/s2  aZ: -0.95m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.19deg  aX: 0.04m/s2  aY: -9.61m/s2  aZ: -1.01m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.16m/s2  aY: -9.77m/s2  aZ: -0.60m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.54m/s2  aY: -10.05m/s2  aZ: -0.51m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.26m/s2  aY: -9.87m/s2  aZ: -1.04m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.25deg  aX: -0.13m/s2  aY: -9.67m/s2  aZ: -0.88m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.31deg  aX: -0.23m/s2  aY: -9.91m/s2  aZ: -0.79m/s2 
 H: 286.50deg  R: -0.88deg  P: 94.38deg  aX: -0.23m/s2  aY: -9.82m/s2  aZ: -0.81m/s2 
 H: 286.44deg  R: -0.88deg  P: 94.38deg  aX: -0.17m/s2  aY: -9.76m/s2  aZ: -0.84m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.38deg  aX: -0.07m/s2  aY: -10.09m/s2  aZ: -0.90m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.31deg  aX: -0.15m/s2  aY: -9.79m/s2  aZ: -0.85m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.31deg  aX: -0.29m/s2  aY: -9.66m/s2  aZ: -0.76m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.41m/s2  aY: -10.06m/s2  aZ: -0.67m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.37m/s2  aY: -10.15m/s2  aZ: -0.85m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.25deg  aX: -0.17m/s2  aY: -9.74m/s2  aZ: -1.03m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.25deg  aX: -0.15m/s2  aY: -9.62m/s2  aZ: -0.86m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.31deg  aX: -0.23m/s2  aY: -9.90m/s2  aZ: -0.74m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.32m/s2  aY: -10.11m/s2  aZ: -0.61m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.38m/s2  aY: -9.97m/s2  aZ: -0.71m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.33m/s2  aY: -9.90m/s2  aZ: -0.95m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.31deg  aX: -0.27m/s2  aY: -9.77m/s2  aZ: -1.10m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.31deg  aX: -0.16m/s2  aY: -9.54m/s2  aZ: -1.09m/s2 
 H: 286.63deg  R: -0.81deg  P: 94.38deg  aX: 0.00m/s2  aY: -9.98m/s2  aZ: -0.92m/s2 
