9deg  R: 1.44deg  P: 59.63deg  aX: 0.87m/s2  aY: -8.38m/s2  aZ: 4.98m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.63deg  aX: 0.00m/s2  aY: -8.52m/s2  aZ: 4.67m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.69deg  aX: -0.09m/s2  aY: -8.53m/s2  aZ: 4.74m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.69deg  aX: -0.01m/s2  aY: -8.50m/s2  aZ: 4.67m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.69deg  aX: 0.00m/s2  aY: -8.48m/s2  aZ: 4.70m/s2 
 H: 142.44deg  R: -0.38deg  P: 60.69deg  aX: -0.10m/s2  aY: -8.51m/s2  aZ: 4.84m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.75deg  aX: -0.05m/s2  aY: -8.67m/s2  aZ: 4.74m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.75deg  aX: -0.10m/s2  aY: -8.60m/s2  aZ: 4.58m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.81deg  aX: -0.04m/s2  aY: -8.55m/s2  aZ: 4.61m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.81deg  aX: 0.00m/s2  aY: -8.56m/s2  aZ: 4.62m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.81deg  aX: -0.01m/s2  aY: -8.64m/s2  aZ: 4.67m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.88deg  aX: 0.00m/s2  aY: -8.60m/s2  aZ: 4.72m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.88deg  aX: -0.09m/s2  aY: -8.64m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.38deg  P: 60.88deg  aX: -0.04m/s2  aY: -8.60m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.88deg  aX: -0.01m/s2  aY: -8.55m/s2  aZ: 4.64m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.88deg  aX: 0.01m/s2  aY: -8.54m/s2  aZ: 4.67m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.88deg  aX: -0.08m/s2  aY: -8.54m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.88deg  aX: -0.07m/s2  aY: -8.52m/s2  aZ: 4.56m/s2 
 H: 142.44deg  R: -0.31deg  P: 60.88deg  aX: -0.05m/s2  aY: -8.55m/s2  aZ: 4.61m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.88deg  aX: -0.05m/s2  aY: -8.61m/s2  aZ: 4.66m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.94deg  aX: -0.03m/s2  aY: -8.63m/s2  aZ: 4.68m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.94deg  aX: 0.11m/s2  aY: -8.60m/s2  aZ: 4.61m/s2 
 H: 142.50deg  R: -0.31deg  P: 60.94deg  aX: 0.00m/s2  aY: -8.57m/s2  aZ: 4.56m/s2 
 H: 142.50deg  R: -0.31deg  P: 61.00deg  aX: -0.08m/s2  aY: -8.57m/s2  aZ: 4.55m/s2 
 H: 142.50deg  R: -0.31deg  P: 61.00deg  aX: -0.03m/s2  aY: -8.64m/s2  aZ: 4.64m/s2 
 H: 142.50deg  R: -0.31deg  P: 61.06deg  aX: -0.07m/s2  aY: -8.68m/s2  aZ: 4.59m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: -0.03m/s2  aY: -8.61m/s2  aZ: 4.52m/s2 
 H: 142.50deg  R: -0.25deg  P: 61.00deg  aX: 0.04m/s2  aY: -8.59m/s2  aZ: 4.66m/s2 
