 H: 142.81deg  R: -1.00deg  P: 52.06deg  aX: -0.04m/s2  aY: -7.60m/s2  aZ: 5.97m/s2 
 H: 142.88deg  R: -1.00deg  P: 52.13deg  aX: -0.11m/s2  aY: -7.74m/s2  aZ: 5.97m/s2 
 H: 143.00deg  R: -0.94deg  P: 52.25deg  aX: -0.28m/s2  aY: -8.10m/s2  aZ: 5.65m/s2 
 H: 143.00deg  R: -0.88deg  P: 52.38deg  aX: -0.09m/s2  aY: -7.86m/s2  aZ: 5.83m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.44deg  aX: -0.15m/s2  aY: -7.93m/s2  aZ: 5.72m/s2 
 H: 143.13deg  R: -0.81deg  P: 52.50deg  aX: -0.06m/s2  aY: -8.03m/s2  aZ: 5.91m/s2 
 H: 143.13deg  R: -0.75deg  P: 52.50deg  aX: -0.23m/s2  aY: -7.94m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.75deg  P: 52.50deg  aX: -0.27m/s2  aY: -7.85m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: 0.06m/s2  aY: -7.59m/s2  aZ: 6.06m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: 0.14m/s2  aY: -7.78m/s2  aZ: 6.03m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: -0.21m/s2  aY: -7.97m/s2  aZ: 5.78m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.50deg  aX: -0.25m/s2  aY: -7.95m/s2  aZ: 5.74m/s2 
 H: 143.06deg  R: -0.63deg  P: 52.50deg  aX: -0.07m/s2  aY: -7.78m/s2  aZ: 5.97m/s2 
 H: 143.06deg  R: -0.63deg  P: 52.50deg  aX: 0.00m/s2  aY: -7.75m/s2  aZ: 5.87m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.11m/s2  aY: -7.93m/s2  aZ: 5.88m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.09m/s2  aY: -7.90m/s2  aZ: 5.91m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.07m/s2  aY: -7.81m/s2  aZ: 5.98m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.06m/s2  aY: -7.76m/s2  aZ: 5.93m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.50deg  aX: -0.09m/s2  aY: -7.82m/s2  aZ: 5.88m/s2 
 H: 143.13deg  R: -0.63deg  P: 52.56deg  aX: -0.10m/s2  aY: -7.84m/s2  aZ: 5.96m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.03m/s2  aY: -7.90m/s2  aZ: 5.90m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.06m/s2  aY: -8.01m/s2  aZ: 5.84m/s2 
 H: 143.19deg  R: -0.69deg  P: 52.56deg  aX: -0.21m/s2  aY: -7.93m/s2  aZ: 5.82m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.15m/s2  aY: -7.89m/s2  aZ: 5.90m/s2 
 H: 143.13deg  R: -0.69deg  P: 52.56deg  aX: -0.14m/s2  aY: -7.92m/s2  aZ: 5.86m/s2 
 H: 143.13deg  R: -0.75deg  P: 52.56deg  aX: -0.14m/s2  aY: -7.83m/s2  aZ: 5.97m/s2 
 H: 143.06deg  R: -0.75deg  P: 52.56deg  aX: -0.10m/s2  aY: -7.80m/s2  aZ: 5.79m/s2 
 H: 143.06deg  R: -0.75deg  P: 52.56deg  aX: -0.22m/s2  aY: -7.87m/s2  aZ: 5.91m/s2 
 H: 143.06deg  R: -0.75deg  P: 52.56deg  aX: -0.07m/s2  aY: -7.82m/s2  aZ: 5.93m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.06m/s2  aY: -7.83m/s2  aZ: 5.96m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.19m/s2  aY: -7.85m/s2  aZ: 5.78m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.10m/s2  aY: -7.89m/s2  aZ: 5.89m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.16m/s2  aY: -7.86m/s2  aZ: 5.89m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.23m/s2  aY: -7.93m/s2  aZ: 5.84m/s2 
 H: 143.06deg  R: -0.81deg  P: 52.56deg  aX: -0.21m/s2  aY: -7.92m/s2  aZ: 5.79m/s2 
 H: 143.00deg  R: -0.88deg  P: 52.56deg  aX: -0.07m/s2  aY: -7.77m/s2  aZ: 5.97m/s2 
 H: 142.88deg  R: -0.94deg  P: 52.50deg  aX: -0.10m/s2  aY: -7.78m/s2  aZ: 6.00m/s2 
 H: 142.75deg  R: -1.19deg  P: 52.38deg  aX: -0.20m/s2  aY: -7.93m/s2  aZ: 5.86m/s2 
 H: 142.75deg  R: -1.25deg  P: 52.38deg  aX: -0.28m/s2  aY: -7.88m/s2  aZ: 5.83m/s2 
 H: 142.75deg  R: -1.31deg  P: 52.31deg  aX: -0.34m/s2  aY: -7.88m/s2  aZ: 5.98m/s2 
 H: 142.69deg  R: -1.38deg  P: 52.25deg  aX: -0.16m/s2  aY: -7.65m/s2  aZ: 6.08m/s2 
 H: 142.63deg  R: -1.44deg  P: 52.25deg  aX: -0.29m/s2  aY: -7.69m/s2  aZ: 5.99m/s2 
 H: 142.63deg  R: -1.50deg  P: 52.25deg  aX: -0.47m/s2  aY: -7.83m/s2  aZ: 5.86m/s2 
 H: 142.56deg  R: -1.50deg  P: 52.25deg  aX: -0.29m/s2  aY: -7.74m/s2  aZ: 6.04m/s2 
 H: 142.50deg  R: -1.44deg  P: 52.31deg  aX: -0.32m/s2  aY: -7.80m/s2  aZ: 6.00m/s2 
 H: 142.44deg  R: -1.31deg  P: 52.38deg  aX: -0.19m/s2  aY: -7.96m/s2  aZ: 5.89m/s2 
 H: 142.38deg  R: -1.31deg  P: 52.38deg  aX: -0.24m/s2  aY: -8.06m/s2  aZ: 5.85m/s2 
 H: 142.38deg  R: -1.25deg  P: 52.31deg  aX: -0.21m/s2  aY: -8.07m/s2  aZ: 5.81m/s2 
 H: 142.31deg  R: -1.25deg  P: 52.31deg  aX: -0.13m/s2  aY: -7.89m/s2  aZ: 5.89m/s2 
 H: 142.19deg  R: -1.25deg  P: 52.25deg  aX: -0.17m/s2  aY: -7.81m/s2  aZ: 6.12m/s2 
 H: 141.63deg  R: -1.25deg  P: 51.69deg  aX: -0.13m/s2  aY: -7.62m/s2  aZ: 6.09m/s2 
 H: 141.56deg  R: -1.25deg  P: 51.63deg  aX: -0.29m/s2  aY: -7.69m/s2  aZ: 5.92m/s2 
 H: 141.38deg  R: -1.19deg  P: 51.44deg  aX: -0.24m/s2  aY: -7.52m/s2  aZ: 6.18m/s2 
 H: 141.19deg  R: -1.13deg  P: 51.31deg  aX: -0.09m/s2  aY: -7.50m/s2  aZ: 6.20m/s2 
 H: 141.13deg  R: -1.13deg  P: 51.31deg  aX: -0.06m/s2  aY: -7.46m/s2  aZ: 6.33m/s2 
 H: 141.06deg  R: -1.13deg  P: 51.25deg  aX: -0.12m/s2  aY: -7.81m/s2  aZ: 5.95m/s2 
 H: 141.00deg  R: -1.06deg  P: 51.19deg  aX: -0.27m/s2  aY: -7.76m/s2  aZ: 5.87m/s2 
 H: 140.94deg  R: -1.06deg  P: 51.13deg  aX: -0.26m/s2  aY: -7.77m/s2  aZ: 5.90m/s2 
 H: 140.88deg  R: -1.00deg  P: 51.06deg  aX: -0.21m/s2  aY: -7.80m/s2  aZ: 6.12m/s2 
 H: 140.81deg  R: -1.00deg  P: 51.00deg  aX: 0.10m/s2  aY: -7.45m/s2  aZ: 6.33m/s2 
 H: 140.75deg  R: -1.00deg  P: 50.94deg  aX: -0.11m/s2  aY: -7.34m/s2  aZ: 6.34m/s2 
 H: 140.75deg  R: -0.94deg  P: 50.88deg  aX: -0.44m/s2  aY: -7.68m/s2  aZ: 6.14m/s2 
 H: 140.81deg  R: -0.94deg  P: 50.88deg  aX: -0.36m/s2  aY: -7.79m/s2  aZ: 6.11m/s2 
 H: 140.81deg  R: -0.88deg  P: 50.88deg  aX: -0.27m/s2  aY: -7.81m/s2  aZ: 6.00m/s2 
 H: 140.75deg  R: -0.81deg  P: 50.81deg  aX: -0.09m/s2  aY: -7.70m/s2  aZ: 6.14m/s2 
 H: 140.69deg  R: -0.75deg  P: 50.75deg  aX: 0.08m/s2  aY: -7.58m/s2  aZ: 6.21m/s2 
 H: 140.69deg  R: -0.75deg  P: 50.75deg  aX: -0.19m/s2  aY: -7.60m/s2  aZ: 6.25m/s2 
 H: 140.69deg  R: -0.75deg  P: 50.69deg  aX: -0.37m/s2  aY: -7.78m/s2  aZ: 6.06m/s2 
 H: 140.63deg  R: -0.69deg  P: 50.63deg  aX: -0.32m/s2  aY: -7.66m/s2  aZ: 6.19m/s2 
 H: 140.63deg  R: -0.63deg  P: 50.63deg  aX: -0.06m/s2  aY: -7.57m/s2  aZ: 6.09m/s2 
 H: 140.56deg  R: -0.63deg  P: 50.63deg  aX: -0.14m/s2  aY: -7.62m/s2  aZ: 6.11m/s2 
 H: 140.56deg  R: -0.56deg  P: 50.56deg  aX: -0.02m/s2  aY: -7.71m/s2  aZ: 6.12m/s2 
 H: 140.50deg  R: -0.56deg  P: 50.56deg  aX: -0.02m/s2  aY: -7.63m/s2  aZ: 6.17m/s2 
 H: 140.50deg  R: -0.50deg  P: 50.56deg  aX: -0.32m/s2  aY: -7.77m/s2  aZ: 6.11m/s2 
 H: 140.50deg  R: -0.50deg  P: 50.56deg  aX: -0.09m/s2  aY: -7.55m/s2  aZ: 6.17m/s2 
 H: 140.50deg  R: -0.50deg  P: 50.56deg  aX: 0.11m/s2  aY: -7.39m/s2  aZ: 6.46m/s2 
 H: 140.50deg  R: -0.50deg  P: 50.56deg  aX: -0.03m/s2  aY: -7.48m/s2  aZ: 6.29m/s2 
 H: 140.50deg  R: -0.44deg  P: 50.56deg  aX: -0.24m/s2  aY: -7.67m/s2  aZ: 6.26m/s2 
 H: 140.50deg  R: -0.44deg  P: 50.69deg  aX: -0.09m/s2  aY: -7.89m/s2  aZ: 5.93m/s2 
 H: 140.50deg  R: -0.44deg  P: 50.69deg  aX: -0.18m/s2  aY: -7.79m/s2  aZ: 6.08m/s2 
 H: 140.56deg  R: -0.44deg  P: 50.69deg  aX: 0.01m/s2  aY: -7.54m/s2  aZ: 6.32m/s2 
 H: 140.56deg  R: -0.38deg  P: 50.75deg  aX: 0.01m/s2  aY: -7.55m/s2  aZ: 6.37m/s2 
 H: 140.63deg  R: -0.38deg  P: 50.75deg  aX: -0.20m/s2  aY: -7.75m/s2  aZ: 6.06m/s2 
 H: 140.63deg  R: -0.38deg  P: 50.81deg  aX: -0.01m/s2  aY: -7.60m/s2  aZ: 6.06m/s2 
 H: 140.63deg  R: -0.38deg  P: 50.88deg  aX: -0.11m/s2  aY: -7.64m/s2  aZ: 6.14m/s2 
 H: 140.69deg  R: -0.31deg  P: 50.94deg  aX: -0.05m/s2  aY: -7.52m/s2  aZ: 6.31m/s2 
 H: 140.75deg  R: -0.31deg  P: 51.00deg  aX: -0.08m/s2  aY: -7.77m/s2  aZ: 6.00m/s2 
 H: 140.81deg  R: -0.31deg  P: 51.06deg  aX: -0.07m/s2  aY: -7.79m/s2  aZ: 6.09m/s2 
 H: 140.94deg  R: -0.25deg  P: 51.19deg  aX: -0.11m/s2  aY: -7.87m/s2  aZ: 6.00m/s2 
 H: 141.00deg  R: -0.25deg  P: 51.25deg  aX: -0.01m/s2  aY: -7.72m/s2  aZ: 6.00m/s2 
 H: 141.06deg  R: -0.25deg  P: 51.31deg  aX: 0.06m/s2  aY: -7.70m/s2  aZ: 6.14m/s2 
 H: 141.13deg  R: -0.19deg  P: 51.38deg  aX: -0.06m/s2  aY: -7.78m/s2  aZ: 5.97m/s2 
 H: 141.13deg  R: -0.19deg  P: 51.38deg  aX: -0.09m/s2  aY: -7.87m/s2  aZ: 6.03m/s2 
 H: 141.19deg  R: -0.19deg  P: 51.44deg  aX: 0.10m/s2  aY: -7.73m/s2  aZ: 5.97m/s2 
 H: 141.19deg  R: -0.13deg  P: 51.44deg  aX: -0.01m/s2  aY: -7.63m/s2  aZ: 6.24m/s2 
 H: 141.19deg  R: -0.13deg  P: 51.44deg  aX: -0.06m/s2  aY: -7.75m/s2  aZ: 6.02m/s2 
 H: 141.19deg  R: -0.13deg  P: 51.44deg  aX: -0.16m/s2  aY: -7.75m/s2  aZ: 6.00m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.50deg  aX: 0.11m/s2  aY: -7.71m/s2  aZ: 6.09m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.50deg  aX: -0.10m/s2  aY: -7.70m/s2  aZ: 6.14m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.50deg  aX: -0.18m/s2  aY: -7.87m/s2  aZ: 5.95m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.50deg  aX: 0.02m/s2  aY: -7.82m/s2  aZ: 6.02m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: 0.08m/s2  aY: -7.78m/s2  aZ: 6.04m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: 0.01m/s2  aY: -7.69m/s2  aZ: 6.05m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: -0.07m/s2  aY: -7.79m/s2  aZ: 5.97m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: -0.06m/s2  aY: -7.85m/s2  aZ: 5.98m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: -0.08m/s2  aY: -7.79m/s2  aZ: 5.89m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: -0.03m/s2  aY: -7.75m/s2  aZ: 5.98m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: -0.07m/s2  aY: -7.70m/s2  aZ: 6.06m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: 0.06m/s2  aY: -7.81m/s2  aZ: 5.98m/s2 
 H: 141.25deg  R: -0.13deg  P: 51.56deg  aX: 0.02m/s2  aY: -7.71m/s2  aZ: 6.06m/s2 
 H: 141.25deg  R: -0.06deg  P: 51.56deg  aX: -0.09m/s2  aY: -7.71m/s2  aZ: 6.11m/s2 
 H: 141.25deg  R: -0.06deg  P: 51.56deg  aX: -0.18m/s2  aY: -7.77m/s2  aZ: 6.03m/s2 
 H: 141.25deg  R: -0.06deg  P: 51.56deg  aX: -0.01m/s2  aY: -7.78m/s2  aZ: 5.98m/s2 
 H: 141.31deg  R: -0.06deg  P: 51.56deg  aX: 0.06m/s2  aY: -7.69m/s2  aZ: 6.12m/s2 
 H: 141.31deg  R: -0.06deg  P: 51.56deg  aX: -0.09m/s2  aY: -7.79m/s2  aZ: 6.04m/s2 
 H: 141.31deg  R: 0.00deg  P: 51.63deg  aX: -0.03m/s2  aY: -7.81m/s2  aZ: 5.97m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.03m/s2  aY: -7.85m/s2  aZ: 5.99m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.05m/s2  aY: -7.76m/s2  aZ: 6.08m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.00m/s2  aY: -7.81m/s2  aZ: 6.03m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: -0.03m/s2  aY: -7.78m/s2  aZ: 5.95m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.00m/s2  aY: -7.79m/s2  aZ: 6.01m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: -0.01m/s2  aY: -7.74m/s2  aZ: 6.00m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.01m/s2  aY: -7.77m/s2  aZ: 6.06m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.01m/s2  aY: -7.75m/s2  aZ: 6.01m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: -0.01m/s2  aY: -7.78m/s2  aZ: 5.98m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.01m/s2  aY: -7.70m/s2  aZ: 6.07m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: -0.07m/s2  aY: -7.73m/s2  aZ: 6.11m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.63deg  aX: 0.05m/s2  aY: -7.77m/s2  aZ: 6.05m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: 0.06m/s2  aY: -7.84m/s2  aZ: 6.01m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: 0.05m/s2  aY: -7.84m/s2  aZ: 5.94m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.69deg  aX: 0.00m/s2  aY: -7.77m/s2  aZ: 6.04m/s2 
