 H: 287.13deg  R: -2.38deg  P: 100.94deg  aX: -0.21m/s2  aY: -10.21m/s2  aZ: -1.81m/s2 
 H: 287.19deg  R: -2.31deg  P: 100.94deg  aX: -0.23m/s2  aY: -9.97m/s2  aZ: -1.73m/s2 
 H: 287.25deg  R: -2.31deg  P: 100.94deg  aX: -0.36m/s2  aY: -9.79m/s2  aZ: -1.83m/s2 
 H: 287.31deg  R: -2.31deg  P: 101.00deg  aX: -0.24m/s2  aY: -10.34m/s2  aZ: -1.57m/s2 
 H: 287.31deg  R: -2.31deg  P: 101.00deg  aX: -0.38m/s2  aY: -10.13m/s2  aZ: -1.80m/s2 
 H: 287.38deg  R: -2.25deg  P: 101.06deg  aX: -0.20m/s2  aY: -9.83m/s2  aZ: -1.91m/s2 
 H: 287.38deg  R: -2.25deg  P: 101.06deg  aX: -0.26m/s2  aY: -9.90m/s2  aZ: -1.85m/s2 
 H: 287.50deg  R: -2.19deg  P: 101.13deg  aX: -0.33m/s2  aY: -10.04m/s2  aZ: -1.73m/s2 
 H: 287.50deg  R: -2.19deg  P: 101.13deg  aX: -0.31m/s2  aY: -9.92m/s2  aZ: -1.98m/s2 
 H: 287.63deg  R: -2.13deg  P: 101.19deg  aX: -0.37m/s2  aY: -9.74m/s2  aZ: -2.28m/s2 
 H: 287.75deg  R: -2.00deg  P: 101.19deg  aX: -0.37m/s2  aY: -10.05m/s2  aZ: -2.02m/s2 
 H: 287.88deg  R: -1.88deg  P: 101.13deg  aX: -0.33m/s2  aY: -9.79m/s2  aZ: -1.81m/s2 
 H: 288.00deg  R: -1.75deg  P: 101.13deg  aX: -0.30m/s2  aY: -9.46m/s2  aZ: -2.01m/s2 
 H: 288.50deg  R: -1.31deg  P: 101.00deg  aX: -0.16m/s2  aY: -10.10m/s2  aZ: -1.48m/s2 
 H: 288.88deg  R: -0.94deg  P: 100.94deg  aX: -0.01m/s2  aY: -9.59m/s2  aZ: -1.93m/s2 
 H: 289.19deg  R: -0.56deg  P: 100.94deg  aX: 0.26m/s2  aY: -10.60m/s2  aZ: -1.51m/s2 
 H: 289.94deg  R: -0.06deg  P: 100.94deg  aX: 0.03m/s2  aY: -10.36m/s2  aZ: -1.76m/s2 
 H: 290.25deg  R: 0.13deg  P: 100.94deg  aX: 0.25m/s2  aY: -9.51m/s2  aZ: -1.83m/s2 
 H: 290.56deg  R: 0.44deg  P: 100.88deg  aX: 0.78m/s2  aY: -9.67m/s2  aZ: -1.46m/s2 
 H: 291.25deg  R: 1.00deg  P: 100.88deg  aX: 0.91m/s2  aY: -10.21m/s2  aZ: -1.41m/s2 
 H: 292.06deg  R: 1.44deg  P: 100.88deg  aX: -0.89m/s2  aY: -9.74m/s2  aZ: -2.33m/s2 
 H: 292.69deg  R: 1.88deg  P: 100.81deg  aX: -0.49m/s2  aY: -10.18m/s2  aZ: -1.92m/s2 
 H: 293.19deg  R: 2.31deg  P: 100.75deg  aX: 0.43m/s2  aY: -10.38m/s2  aZ: -1.34m/s2 
 H: 294.00deg  R: 3.13deg  P: 100.69deg  aX: 0.88m/s2  aY: -9.44m/s2  aZ: -1.98m/s2 
 H: 294.19deg  R: 3.44deg  P: 100.69deg  aX: 1.11m/s2  aY: -10.29m/s2  aZ: -1.93m/s2 
 H: 294.94deg  R: 4.13deg  P: 100.75deg  aX: 1.26m/s2  aY: -9.87m/s2  aZ: -2.09m/s2 
 H: 295.13deg  R: 4.31deg  P: 100.69deg  aX: 1.09m/s2  aY: -9.15m/s2  aZ: -1.95m/s2 
 H: 295.75deg  R: 4.75deg  P: 100.75deg  aX: 1.32m/s2  aY: -10.22m/s2  aZ: -1.30m/s2 
 H: 295.94deg  R: 4.88deg  P: 100.81deg  aX: 0.10m/s2  aY: -9.83m/s2  aZ: -2.04m/s2 
 H: 296.13deg  R: 5.19deg  P: 100.94deg  aX: 1.59m/s2  aY: -9.36m/s2  aZ: -1.47m/s2 
 H: 296.06deg  R: 5.31deg  P: 101.19deg  aX: 1.55m/s2  aY: -9.31m/s2  aZ: -1.86m/s2 
 H: 296.19deg  R: 5.44deg  P: 101.44deg  aX: 1.52m/s2  aY: -9.83m/s2  aZ: -1.95m/s2 
 H: 296.31deg  R: 5.56deg  P: 101.75deg  aX: 2.08m/s2  aY: -11.28m/s2  aZ: -1.26m/s2 
 H: 296.56deg  R: 5.69deg  P: 102.00deg  aX: 1.27m/s2  aY: -10.34m/s2  aZ: -2.21m/s2 
 H: 296.69deg  R: 5.69deg  P: 102.25deg  aX: 0.96m/s2  aY: -9.62m/s2  aZ: -2.04m/s2 
 H: 296.63deg  R: 5.56deg  P: 102.44deg  aX: 1.45m/s2  aY: -9.82m/s2  aZ: -2.15m/s2 
 H: 296.69deg  R: 5.44deg  P: 102.63deg  aX: 1.25m/s2  aY: -10.32m/s2  aZ: -2.52m/s2 
 H: 296.75deg  R: 5.31deg  P: 102.69deg  aX: 1.56m/s2  aY: -10.10m/s2  aZ: -1.83m/s2 
 H: 296.69deg  R: 5.06deg  P: 102.75deg  aX: 1.31m/s2  aY: -9.73m/s2  aZ: -2.29m/s2 
 H: 296.63deg  R: 4.75deg  P: 102.75deg  aX: 1.06m/s2  aY: -9.98m/s2  aZ: -2.29m/s2 
 H: 296.44deg  R: 4.38deg  P: 102.69deg  aX: 0.64m/s2  aY: -9.95m/s2  aZ: -2.16m/s2 
 H: 296.44deg  R: 4.31deg  P: 102.69deg  aX: 0.45m/s2  aY: -9.96m/s2  aZ: -2.39m/s2 
 H: 296.38deg  R: 4.13deg  P: 102.56deg  aX: 0.71m/s2  aY: -9.75m/s2  aZ: -2.38m/s2 
 H: 296.38deg  R: 4.00deg  P: 102.50deg  aX: 0.23m/s2  aY: -9.92m/s2  aZ: -2.44m/s2 
 H: 296.44deg  R: 3.94deg  P: 102.38deg  aX: -0.24m/s2  aY: -9.74m/s2  aZ: -1.84m/s2 
 H: 296.50deg  R: 3.94deg  P: 102.25deg  aX: 0.43m/s2  aY: -9.39m/s2  aZ: -2.49m/s2 
 H: 296.63deg  R: 4.13deg  P: 102.06deg  aX: 0.40m/s2  aY: -10.07m/s2  aZ: -2.17m/s2 
 H: 297.00deg  R: 4.50deg  P: 101.88deg  aX: 1.04m/s2  aY: -10.17m/s2  aZ: -1.78m/s2 
 H: 297.25deg  R: 4.75deg  P: 101.69deg  aX: 1.61m/s2  aY: -10.09m/s2  aZ: -1.51m/s2 
 H: 297.56deg  R: 5.06deg  P: 101.44deg  aX: 1.24m/s2  aY: -9.93m/s2  aZ: -2.06m/s2 
 H: 297.69deg  R: 5.19deg  P: 101.31deg  aX: 1.01m/s2  aY: -10.24m/s2  aZ: -2.06m/s2 
 H: 297.75deg  R: 5.25deg  P: 101.13deg  aX: 1.59m/s2  aY: -9.49m/s2  aZ: -1.61m/s2 
 H: 297.81deg  R: 5.31deg  P: 100.94deg  aX: 1.32m/s2  aY: -9.37m/s2  aZ: -1.84m/s2 
 H: 297.81deg  R: 5.25deg  P: 100.88deg  aX: 1.23m/s2  aY: -10.01m/s2  aZ: -1.57m/s2 
