eg  P: 99.81deg  aX: -0.85m/s2  aY: -8.18m/s2  aZ: -1.87m/s2 
 H: 300.19deg  R: 0.69deg  P: 108.38deg  aX: -0.19m/s2  aY: -9.17m/s2  aZ: -3.49m/s2 
 H: 300.19deg  R: 0.69deg  P: 108.50deg  aX: 0.15m/s2  aY: -9.60m/s2  aZ: -3.42m/s2 
 H: 300.19deg  R: 0.69deg  P: 108.56deg  aX: 0.14m/s2  aY: -9.58m/s2  aZ: -2.93m/s2 
 H: 300.19deg  R: 0.69deg  P: 108.75deg  aX: 0.21m/s2  aY: -9.39m/s2  aZ: -3.32m/s2 
 H: 300.25deg  R: 0.75deg  P: 108.81deg  aX: -0.21m/s2  aY: -9.83m/s2  aZ: -3.23m/s2 
 H: 300.38deg  R: 0.88deg  P: 108.88deg  aX: -0.34m/s2  aY: -9.69m/s2  aZ: -3.37m/s2 
 H: 300.38deg  R: 0.94deg  P: 109.00deg  aX: 0.56m/s2  aY: -9.53m/s2  aZ: -3.27m/s2 
 H: 300.38deg  R: 1.00deg  P: 109.06deg  aX: 0.28m/s2  aY: -9.69m/s2  aZ: -3.35m/s2 
 H: 300.50deg  R: 1.13deg  P: 109.19deg  aX: 0.58m/s2  aY: -9.53m/s2  aZ: -3.08m/s2 
 H: 300.50deg  R: 1.13deg  P: 109.25deg  aX: 0.26m/s2  aY: -9.61m/s2  aZ: -3.48m/s2 
 H: 300.50deg  R: 1.13deg  P: 109.25deg  aX: 0.10m/s2  aY: -9.39m/s2  aZ: -3.32m/s2 
 H: 300.75deg  R: 1.31deg  P: 109.19deg  aX: 0.47m/s2  aY: -9.72m/s2  aZ: -3.57m/s2 
 H: 300.88deg  R: 1.44deg  P: 109.19deg  aX: 0.43m/s2  aY: -9.35m/s2  aZ: -3.11m/s2 
 H: 300.88deg  R: 1.50deg  P: 109.13deg  aX: 0.53m/s2  aY: -9.36m/s2  aZ: -3.20m/s2 
 H: 300.94deg  R: 1.50deg  P: 109.13deg  aX: 0.24m/s2  aY: -9.80m/s2  aZ: -3.59m/s2 
 H: 300.94deg  R: 1.50deg  P: 109.13deg  aX: 0.28m/s2  aY: -9.59m/s2  aZ: -3.15m/s2 
 H: 300.88deg  R: 1.44deg  P: 109.06deg  aX: 0.37m/s2  aY: -9.01m/s2  aZ: -3.28m/s2 
