 H: 298.00deg  R: -3.69deg  P: 74.88deg  aX: -0.18m/s2  aY: -8.93m/s2  aZ: 3.24m/s2 
 H: 298.44deg  R: -3.63deg  P: 75.06deg  aX: -0.26m/s2  aY: -9.04m/s2  aZ: 3.46m/s2 
 H: 298.31deg  R: -3.63deg  P: 75.13deg  aX: 0.37m/s2  aY: -8.99m/s2  aZ: 3.35m/s2 
 H: 298.50deg  R: -3.56deg  P: 75.19deg  aX: -0.62m/s2  aY: -10.03m/s2  aZ: 2.02m/s2 
 H: 298.69deg  R: -3.50deg  P: 75.19deg  aX: -1.51m/s2  aY: -9.50m/s2  aZ: 1.93m/s2 
 H: 298.56deg  R: -3.50deg  P: 75.25deg  aX: 0.17m/s2  aY: -9.12m/s2  aZ: 3.29m/s2 
 H: 298.63deg  R: -3.50deg  P: 75.38deg  aX: 0.00m/s2  aY: -9.98m/s2  aZ: 2.43m/s2 
 H: 298.81deg  R: -3.44deg  P: 75.44deg  aX: -1.21m/s2  aY: -9.57m/s2  aZ: 1.87m/s2 
 H: 298.75deg  R: -3.38deg  P: 75.44deg  aX: -0.25m/s2  aY: -9.12m/s2  aZ: 3.16m/s2 
 H: 298.69deg  R: -3.38deg  P: 75.50deg  aX: -0.14m/s2  aY: -9.84m/s2  aZ: 2.45m/s2 
 H: 298.88deg  R: -3.31deg  P: 75.69deg  aX: -0.93m/s2  aY: -9.52m/s2  aZ: 2.37m/s2 
 H: 298.81deg  R: -3.31deg  P: 75.69deg  aX: -0.29m/s2  aY: -9.23m/s2  aZ: 2.90m/s2 
 H: 298.75deg  R: -3.31deg  P: 75.81deg  aX: -0.28m/s2  aY: -9.69m/s2  aZ: 2.21m/s2 
 H: 298.81deg  R: -3.25deg  P: 75.94deg  aX: -0.94m/s2  aY: -9.61m/s2  aZ: 1.95m/s2 
 H: 298.75deg  R: -3.25deg  P: 75.94deg  aX: -0.51m/s2  aY: -9.25m/s2  aZ: 2.83m/s2 
 H: 298.69deg  R: -3.19deg  P: 76.06deg  aX: 0.18m/s2  aY: -9.70m/s2  aZ: 2.48m/s2 
 H: 298.75deg  R: -3.19deg  P: 76.19deg  aX: -0.83m/s2  aY: -9.66m/s2  aZ: 1.91m/s2 
 H: 298.81deg  R: -3.13deg  P: 76.19deg  aX: -0.85m/s2  aY: -9.41m/s2  aZ: 2.47m/s2 
 H: 298.81deg  R: -3.13deg  P: 76.25deg  aX: 0.20m/s2  aY: -9.59m/s2  aZ: 2.65m/s2 
 H: 298.75deg  R: -3.13deg  P: 76.38deg  aX: 0.11m/s2  aY: -9.79m/s2  aZ: 2.26m/s2 
 H: 299.00deg  R: -3.06deg  P: 76.50deg  aX: -0.96m/s2  aY: -9.69m/s2  aZ: 2.04m/s2 
 H: 298.88deg  R: -3.00deg  P: 76.56deg  aX: -0.29m/s2  aY: -9.30m/s2  aZ: 2.80m/s2 
 H: 298.88deg  R: -3.00deg  P: 76.69deg  aX: 0.00m/s2  aY: -9.77m/s2  aZ: 2.02m/s2 
 H: 299.06deg  R: -3.00deg  P: 76.75deg  aX: -0.96m/s2  aY: -9.82m/s2  aZ: 1.56m/s2 
 H: 299.06deg  R: -3.00deg  P: 76.75deg  aX: -0.40m/s2  aY: -9.58m/s2  aZ: 2.62m/s2 
 H: 299.00deg  R: -2.94deg  P: 76.81deg  aX: -0.12m/s2  aY: -9.29m/s2  aZ: 2.58m/s2 
 H: 299.00deg  R: -2.94deg  P: 76.81deg  aX: -0.49m/s2  aY: -9.77m/s2  aZ: 1.83m/s2 
 H: 299.13deg  R: -2.94deg  P: 76.88deg  aX: -0.68m/s2  aY: -9.64m/s2  aZ: 1.88m/s2 
 H: 299.06deg  R: -2.88deg  P: 76.88deg  aX: -0.35m/s2  aY: -9.44m/s2  aZ: 2.70m/s2 
 H: 299.06deg  R: -2.88deg  P: 76.88deg  aX: 0.05m/s2  aY: -9.56m/s2  aZ: 2.33m/s2 
 H: 299.06deg  R: -2.88deg  P: 76.88deg  aX: -0.80m/s2  aY: -9.77m/s2  aZ: 1.68m/s2 
 H: 299.06deg  R: -2.88deg  P: 76.88deg  aX: -0.57m/s2  aY: -9.56m/s2  aZ: 2.16m/s2 
